City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Alta Floresta,-9.8756,-56.0861,71.49,95,95,2.91,BR,1619402802
Pemangkat,1.1667,108.9667,83.8,70,5,3.49,ID,1619402802
Kitgum,3.2783,32.8867,64.9,98,88,1.57,UG,1619402802
Bredasdorp,-34.5322,20.0403,51.8,93,95,3.44,ZA,1619402802
Kashiwazaki,37.3667,138.55,51.01,45,14,1.99,JP,1619402590
Copiapó,-27.3667,-70.3333,60.8,77,90,8.05,CL,1619402803
Tonj,7.2737,28.6822,73.17,82,74,3.78,SS,1619402803
Liverpool,53.4106,-2.9779,44.6,81,36,6.91,GB,1619402804
Cherskiy,68.75,161.3,20.66,75,86,6.24,RU,1619402804
Port Shepstone,-30.7414,30.455,64.53,74,18,4.97,ZA,1619402640
Nikol'sk,53.7189,46.0712,35.17,79,14,13.53,RU,1619402805
Haapiti,-17.5667,-149.8667,86.0,66,20,10.36,PF,1619402805
Cidreira,-30.1811,-50.2056,66.7,62,100,13.27,BR,1619402805
Port-Gentil,-0.7193,8.7815,82.2,78,31,6.71,GA,1619402805
Qaqortoq,60.7167,-46.0333,50.0,32,75,32.21,GL,1619402806
Bambous Virieux,-20.3428,57.7575,75.2,94,75,11.5,MU,1619402806
Gonbad-e Kāvūs,37.25,55.1672,60.94,72,7,2.62,IR,1619402806
Machalí,-34.1833,-70.6667,59.31,38,0,1.74,CL,1619402806
Coquimbo,-29.9533,-71.3436,53.6,94,0,3.44,CL,1619402806
Bend,44.0582,-121.3153,42.8,75,40,4.61,US,1619402807
Kralendijk,12.15,-68.2667,78.8,83,13,11.5,BQ,1619402807
Rocha,-34.4833,-54.3333,59.99,72,79,7.49,UY,1619402807
Kloulklubed,7.0419,134.2556,86.0,74,75,13.8,PW,1619402808
Empório,40.4833,21.55,42.8,93,5,1.14,GR,1619402808
Ancud,-41.8697,-73.8203,53.01,93,75,3.44,CL,1619402804
Saldanha,-33.0117,17.9442,60.8,94,15,9.22,ZA,1619402808
Maragogi,-9.0122,-35.2225,77.72,83,38,6.87,BR,1619402809
Opuwo,-18.0607,13.84,62.44,59,0,2.98,NA,1619402809
Necochea,-38.5473,-58.7368,54.0,89,56,5.37,AR,1619402809
New Norfolk,-42.7826,147.0587,61.0,75,100,8.01,AU,1619402809
Corn Island,12.1694,-83.0418,80.92,75,6,13.35,NI,1619402810
Siyabuswa,-25.1132,29.0445,55.04,26,0,3.15,ZA,1619402810
Kourou,5.1552,-52.6478,80.6,83,40,3.44,GF,1619402810
Udachny,66.4167,112.4,12.56,83,100,26.24,RU,1619402811
Indramayu,-6.3264,108.32,83.34,69,5,10.22,ID,1619402801
Lumeje,-11.55,20.7833,63.54,84,9,3.49,AO,1619402811
Sortavala,61.7053,30.6918,37.53,92,47,11.21,RU,1619402811
Ponta Delgada,37.7333,-25.6667,57.2,88,75,8.05,PT,1619402658
Upernavik,72.7868,-56.1549,27.91,78,61,4.07,GL,1619402812
Asău,46.4333,26.4,39.99,66,51,0.72,RO,1619402812
Tasiilaq,65.6145,-37.6368,39.2,65,75,16.11,GL,1619402812
Taft,31.7471,54.2088,75.2,27,40,4.61,IR,1619402812
Chilca,-12.5211,-76.7372,63.0,88,40,4.61,PE,1619402813
Nyandoma,61.669,40.1991,38.82,97,100,5.37,RU,1619402813
Lorengau,-2.0226,147.2712,85.75,65,86,3.4,PG,1619402813
Plouzané,48.3833,-4.6167,46.4,81,0,18.41,FR,1619402813
Saint-Leu,-21.15,55.2833,77.0,73,0,16.11,RE,1619402813
San Cristobal,7.7669,-72.225,78.8,83,75,3.44,VE,1619402814
Beloha,-25.1667,45.05,69.89,76,0,5.1,MG,1619402514
Klaksvík,62.2266,-6.589,42.8,100,100,18.41,FO,1619402814
Ratnapura,6.6828,80.3992,79.16,86,100,0.4,LK,1619402814
Okhotsk,59.3833,143.3,26.29,58,3,5.7,RU,1619402815
Bengkulu,-3.8004,102.2655,82.09,71,52,3.89,ID,1619402771
Katsuura,35.1333,140.3,59.0,35,20,10.36,JP,1619402755
Kapoeta,4.7717,33.5903,73.83,77,100,3.0,SS,1619402815
Ballina,-28.8667,153.5667,73.4,64,17,8.05,AU,1619402570
Egvekinot,66.3167,-179.1667,28.92,88,11,1.03,RU,1619402816
Bintulu,3.1667,113.0333,82.4,89,20,5.75,MY,1619402816
Vestmannaeyjar,63.4427,-20.2734,44.55,79,1,5.12,IS,1619402816
Bousso,10.4795,16.7117,84.52,44,40,7.56,TD,1619402817
Melo,-32.3667,-54.1833,53.67,95,24,7.2,UY,1619402817
Linping,30.4225,120.2972,71.6,68,20,6.71,CN,1619402631
Xining,36.6167,101.7667,42.62,62,73,6.11,CN,1619402818
Bachaquero,9.9694,-71.1494,81.46,72,13,4.72,VE,1619402818
Nikolskoye,59.7035,30.7861,37.99,93,90,8.95,RU,1619402818
Hualmay,-11.0964,-77.6139,66.36,87,28,8.84,PE,1619402561
Cayenne,4.9333,-52.3333,80.6,83,40,3.44,GF,1619402818
Husavik,66.0449,-17.3389,35.6,93,90,11.5,IS,1619402819
Wadi Maliz,36.4681,8.5495,53.6,87,40,2.3,TN,1619402819
Lebu,-37.6167,-73.65,54.64,92,36,9.28,CL,1619402819
Nemuro,43.3236,145.575,41.0,30,40,14.97,JP,1619402820
Shimoda,34.6667,138.95,57.2,41,20,19.57,JP,1619402820
Mellieħa,35.9564,14.3622,57.2,88,0,4.61,MT,1619402820
Ust-Nera,64.5667,143.2,20.89,82,100,5.97,RU,1619402820
Pánormos,35.4182,24.6909,57.99,72,20,26.46,GR,1619402820
Yellowknife,62.456,-114.3525,10.4,72,90,12.66,CA,1619402821
Qaanaaq,77.484,-69.3632,28.13,65,3,8.66,GL,1619402821
Saint Anthony,45.0205,-93.218,43.0,52,90,9.22,US,1619402821
Kaeo,-35.1,173.7833,66.0,75,19,5.99,NZ,1619402821
Basoko,1.2391,23.616,70.57,94,100,3.67,CD,1619402808
Suratgarh,29.3167,73.9,85.8,12,0,3.42,IN,1619402822
Toba,34.4833,136.85,57.99,46,0,8.99,JP,1619402822
Salamiyah,35.0113,37.0532,66.47,43,21,2.57,SY,1619402822
Yumen,40.2833,97.2,46.4,10,9,16.13,CN,1619402674
Yatou,37.15,122.3833,60.6,55,97,10.13,CN,1619402614
Naze,28.3667,129.4833,75.2,60,75,14.97,JP,1619402823
Hare Bay,48.8499,-54.0148,42.8,65,7,10.36,CA,1619402823
Bangsund,64.3968,11.3949,36.0,73,72,5.01,NO,1619402823
Porto Nacional,-10.7081,-48.4172,71.6,100,75,3.44,BR,1619402823
Seymchan,62.8833,152.4333,19.26,73,50,5.59,RU,1619402824
Coahuayana Viejo,18.7333,-103.6833,74.37,81,96,2.35,MX,1619402825
Mount Isa,-20.7333,139.5,84.2,39,79,13.8,AU,1619402825
Balabac,7.9868,117.0645,83.95,71,72,6.82,PH,1619402826
Ouésso,1.6136,16.0517,72.55,86,100,1.63,CG,1619402826
Pedasí,7.5333,-80.0333,82.06,75,28,16.13,PA,1619402826
Myitkyina,25.3833,97.4,91.83,21,2,1.5,MM,1619402826
Puerto del Rosario,28.5004,-13.8627,68.0,68,0,6.91,ES,1619402545
Agadez,19.75,10.25,82.74,12,6,5.77,NE,1619402827
Linqing,36.8456,115.7117,61.09,36,100,3.83,CN,1619402827
Pirovskoye,57.6267,92.2658,35.64,98,100,6.08,RU,1619402827
Djibouti,11.5,42.5,82.4,83,75,6.71,DJ,1619402827
Ossora,59.2353,163.0719,33.4,98,97,0.81,RU,1619402828
Waipawa,-41.4122,175.5153,60.8,48,25,17.27,NZ,1619402828
Ciudad Bolivar,8.1222,-63.5497,83.07,60,100,15.3,VE,1619402828
Lompoc,34.6391,-120.4579,53.6,82,100,8.05,US,1619402829
Hasaki,35.7333,140.8333,61.0,26,20,17.27,JP,1619402829
Bonfim,3.0833,-59.95,76.91,85,100,6.08,BR,1619402830
Ribeira Grande,38.5167,-28.7,57.2,77,20,5.75,PT,1619402830
Zbarazh,49.6636,25.7762,34.0,83,100,7.31,UA,1619402830
Guanare,9.0418,-69.7421,84.2,65,68,3.44,VE,1619402830
Červený Kostelec,50.4763,16.0929,28.0,85,7,3.27,CZ,1619402832
Uyuni,-20.4597,-66.825,40.37,23,0,11.9,BO,1619402832
Cururupu,-1.8283,-44.8683,74.5,92,65,2.64,BR,1619402833
Batagay,67.6333,134.6333,31.05,97,100,6.17,RU,1619402833
Forsytheganj,52.6333,29.7333,29.53,86,27,5.44,BY,1619402834
Zhigansk,66.7697,123.3711,29.57,98,100,11.3,RU,1619402834
Dinghaicun,26.2847,119.7936,69.8,73,0,13.42,CN,1619402834
Calama,-22.4667,-68.9333,46.4,34,0,13.8,CL,1619402795
Dunedin,-45.8742,170.5036,62.01,36,72,21.0,NZ,1619402727
Chokurdakh,70.6333,147.9167,28.58,95,100,13.53,RU,1619402835
Shingū,33.7333,135.9833,62.6,29,0,17.27,JP,1619402704
Palo Alto,37.4419,-122.143,57.2,62,75,11.5,US,1619402835
Gijang,35.2442,129.2139,62.6,39,0,8.05,KR,1619402676
Khandyga,62.6667,135.6,30.58,84,100,6.82,RU,1619402837
Lohfelden,51.2667,9.5333,32.0,74,96,4.61,DE,1619402837
Bafoulabé,13.8065,-10.8321,93.4,16,71,2.89,ML,1619402816
Airai,-8.9266,125.4092,71.42,41,35,2.73,TL,1619402838
Upington,-28.4478,21.2561,60.8,36,0,1.14,ZA,1619402838
Namwala,-15.7504,26.4384,60.64,92,56,2.57,ZM,1619402838
Samsun Province,41.25,36.3333,50.0,87,75,2.3,TR,1619402838
Kumul,42.8,93.45,47.07,12,88,2.24,CN,1619402582
North Bend,43.4065,-124.2243,48.2,93,90,5.75,US,1619402839
Kuching,1.55,110.3333,84.2,84,20,3.44,MY,1619402712
Tomas Oppus,10.2506,124.9831,81.01,78,77,2.33,PH,1619402840
Huntsville,34.7304,-86.5861,57.2,72,1,4.25,US,1619402801
Laas,46.6166,10.7002,48.0,75,0,3.44,IT,1619402841
Ostrovnoy,68.0531,39.5131,31.68,98,100,22.77,RU,1619402841
Phan Thiet,10.9333,108.1,86.72,63,73,1.32,VN,1619402755
Shihezi,44.3,86.0333,49.75,21,100,5.82,CN,1619402842
Gaya,24.7833,85.0,69.8,52,20,6.33,IN,1619402746
Vila Franca do Campo,37.7167,-25.4333,57.2,88,75,8.05,PT,1619402842
Ciurila,46.65,23.55,44.6,76,75,12.66,RO,1619402842
Hobyo,5.3505,48.5268,82.85,64,78,8.52,SO,1619402843
Nouadhibou,20.931,-17.0347,64.4,88,0,16.11,MR,1619402843
Faya,18.3851,42.4509,60.8,59,40,7.34,SA,1619402843
Luleå,65.5842,22.1547,30.2,64,90,12.66,SE,1619402827
Sitka,57.0531,-135.33,55.4,50,1,4.61,US,1619402843
Yarmouth,41.7057,-70.2286,46.99,87,20,10.36,US,1619402844
Kodumudi,11.0775,77.8836,83.46,68,32,5.41,IN,1619402844
Tabou,4.423,-7.3528,76.24,89,100,4.94,CI,1619402844
Chapais,49.7834,-74.8492,26.6,93,90,11.5,CA,1619402844
Ürümqi,43.801,87.6005,46.4,27,0,4.47,CN,1619402739
Pochutla,15.7432,-96.4661,82.99,73,96,1.01,MX,1619402845
San Luis,-33.295,-66.3356,57.2,63,0,5.5,AR,1619402845
Paamiut,61.994,-49.6678,35.89,97,100,1.36,GL,1619402845
Ziarat,30.3823,67.7282,58.55,26,0,1.63,PK,1619402845
Lipin Bor,60.2622,37.9763,38.86,96,100,4.83,RU,1619402846
Port Lincoln,-34.7333,135.8667,65.61,64,1,8.05,AU,1619402846
Luau,-10.7073,22.2247,62.78,90,31,2.71,AO,1619402846
Ondangwa,-17.9167,15.95,62.6,59,0,2.3,NA,1619402846
Areosa,41.7178,-8.8571,59.0,88,0,4.52,PT,1619402846
Ixtapa,20.7,-105.2,79.0,83,40,10.36,MX,1619402847
Barkhan,29.8977,69.5256,74.97,26,0,3.09,PK,1619402847
Āsosa,10.0667,34.5333,62.11,92,100,5.84,ET,1619402807
Saskylakh,71.9167,114.0833,14.61,92,100,23.11,RU,1619402847
Yar-Sale,66.8333,70.8333,33.3,99,100,11.83,RU,1619402848
Riyadh,24.6877,46.7219,78.8,13,0,4.61,SA,1619402848
Vostok,46.4856,135.8833,45.73,25,11,10.22,RU,1619402848
Ust'-Omchug,61.15,149.6333,12.42,54,6,2.15,RU,1619402849
Fortuna,40.5982,-124.1573,52.0,87,75,10.36,US,1619402849
Mahibadhoo,3.7833,72.9667,83.1,73,24,5.88,MV,1619402849
Honningsvåg,70.9821,25.9704,35.1,75,100,11.61,NO,1619402849
São João da Barra,-21.6403,-41.0511,74.3,90,65,5.95,BR,1619402815
Tra Vinh,9.9347,106.3453,87.82,59,60,5.75,VN,1619402776
Mahébourg,-20.4081,57.7,75.2,94,75,11.5,MU,1619402850
Kieta,-6.2167,155.6333,86.36,63,28,6.67,PG,1619402662
Nishihara,26.1842,127.7558,77.0,60,20,9.22,JP,1619402833
Bollnäs,61.3482,16.3946,32.0,62,72,1.99,SE,1619402851
Muisne,0.6,-80.0333,77.45,82,100,3.69,EC,1619402851
Nioaque,-21.1353,-55.83,66.29,94,94,3.65,BR,1619402851
Mitú,1.1983,-70.1733,74.46,94,100,2.33,CO,1619402851
Mareeba,-17.0,145.4333,75.2,94,75,8.05,AU,1619402785
Taoudenni,22.6783,-3.9836,86.88,15,9,7.18,ML,1619402852
Ust-Tsilma,65.441,52.1498,40.06,93,100,6.22,RU,1619402852
Gizo Government Station,-8.103,156.8419,84.74,67,20,3.06,SB,1619402852
Torbay,47.6666,-52.7314,43.0,65,1,13.8,CA,1619402852
Karratha,-20.7377,116.8463,85.95,26,0,12.37,AU,1619402853
Richards Bay,-28.783,32.0377,64.26,92,4,4.25,ZA,1619402853
Raudeberg,61.9875,5.1352,37.0,72,4,8.14,NO,1619402853
Wajir,1.7471,40.0573,77.58,78,6,11.27,KE,1619402820
San Quintín,30.4833,-115.95,59.45,73,51,10.42,MX,1619402854
Krivosheino,57.3431,83.9261,39.96,89,100,3.98,RU,1619402854
Santiago,-33.4569,-70.6483,61.0,63,0,1.83,CL,1619402844
Orichi,58.4036,49.0572,33.17,96,100,11.1,RU,1619402855
Adrar,20.5022,-10.0711,80.46,21,56,9.13,MR,1619402855
Teacapan,22.55,-105.75,74.05,67,100,4.34,MX,1619402855
Bertoua,4.5833,13.6833,69.12,84,97,0.69,CM,1619402855
Changji,44.0167,87.3167,46.4,27,0,4.47,CN,1619402671
Nādāpuram,11.7,75.6667,81.12,86,9,2.21,IN,1619402856
Umm Kaddadah,13.6017,26.6876,77.11,33,66,6.51,SD,1619402856
Quelimane,-17.8786,36.8883,71.02,96,15,3.8,MZ,1619402856
Trogir,43.5125,16.2517,50.0,66,0,2.3,HR,1619402856
Hambantota,6.1241,81.1185,77.0,100,20,4.88,LK,1619402729
Baley,51.6,116.6333,50.63,58,100,11.81,RU,1619402857
Prince Rupert,54.3161,-130.3201,59.0,31,1,9.22,CA,1619402857
